Period,Area,Benchmark,House_type,,,,,
Aug-08,Vancouver West,633500.00 ,Townhouse,,,,,
Aug-08,Whistler,555400.00 ,Townhouse,,,,,
Aug-08,Lower Mainland,352000.00 ,Apartment,,,,,
Aug-08,Burnaby East,412100.00 ,Apartment,,,,,
Aug-08,Burnaby North,343800.00 ,Apartment,,,,,
Aug-08,Burnaby South,364400.00 ,Apartment,,,,,
Aug-08,Coquitlam,268800.00 ,Apartment,,,,,
Aug-08,Ladner,321300.00 ,Apartment,,,,,
Aug-08,Maple Ridge,221300.00 ,Apartment,,,,,
Aug-08,New Westminster,273200.00 ,Apartment,,,,,
Aug-08,North Vancouver,350600.00 ,Apartment,,,,,
Aug-08,Pitt Meadows,267900.00 ,Apartment,,,,,
Aug-08,Port Coquitlam,259000.00 ,Apartment,,,,,
Aug-08,Port Moody,326800.00 ,Apartment,,,,,
Aug-08,Richmond,344100.00 ,Apartment,,,,,
Aug-08,Squamish,289900.00 ,Apartment,,,,,
Aug-08,Tsawwassen,348300.00 ,Apartment,,,,,
Aug-08,Vancouver East,302300.00 ,Apartment,,,,,
Aug-08,Vancouver West,445600.00 ,Apartment,,,,,
Aug-08,West Vancouver,724500.00 ,Apartment,,,,,
Aug-08,Whistler,364800.00 ,Apartment,,,,,
Sep-08,Lower Mainland,651800.00 ,Detached,,,,,
Sep-08,Bowen Island,637000.00 ,Detached,,,,,
Sep-08,Burnaby East,605500.00 ,Detached,,,,,
Sep-08,Burnaby North,721400.00 ,Detached,,,,,
Sep-08,Burnaby South,729200.00 ,Detached,,,,,
Sep-08,Coquitlam,617800.00 ,Detached,,,,,
Sep-08,Ladner,553600.00 ,Detached,,,,,
Sep-08,Maple Ridge,473500.00 ,Detached,,,,,
Sep-08,New Westminster,546800.00 ,Detached,,,,,
Sep-08,North Vancouver,856100.00 ,Detached,,,,,
Sep-08,Pitt Meadows,470200.00 ,Detached,,,,,
Sep-08,Port Coquitlam,519800.00 ,Detached,,,,,
Sep-08,Port Moody,753200.00 ,Detached,,,,,
Sep-08,Richmond,764500.00 ,Detached,,,,,
Sep-08,Squamish,520600.00 ,Detached,,,,,
Sep-08,Sunshine Coast,394200.00 ,Detached,,,,,
Sep-08,Tsawwassen,604900.00 ,Detached,,,,,
Sep-08,Vancouver East,652400.00 ,Detached,,,,,
Sep-08,Vancouver West,1512600.00 ,Detached,,,,,
Sep-08,West Vancouver,1500000.00 ,Detached,,,,,
Sep-08,Whistler,1005700.00 ,Detached,,,,,
Sep-08,Lower Mainland,389600.00 ,Townhouse,,,,,
Sep-08,Burnaby East,391200.00 ,Townhouse,,,,,
Sep-08,Burnaby North,396800.00 ,Townhouse,,,,,
Sep-08,Burnaby South,418300.00 ,Townhouse,,,,,
Sep-08,Coquitlam,373900.00 ,Townhouse,,,,,
Sep-08,Ladner,402000.00 ,Townhouse,,,,,
Sep-08,Maple Ridge,307200.00 ,Townhouse,,,,,
Sep-08,New Westminster,399000.00 ,Townhouse,,,,,
Sep-08,North Vancouver,552300.00 ,Townhouse,,,,,
Sep-08,Pitt Meadows,327700.00 ,Townhouse,,,,,
Sep-08,Port Coquitlam,371400.00 ,Townhouse,,,,,
Sep-08,Port Moody,419600.00 ,Townhouse,,,,,
Sep-08,Richmond,437000.00 ,Townhouse,,,,,
Sep-08,Squamish,405100.00 ,Townhouse,,,,,
Sep-08,Tsawwassen,367800.00 ,Townhouse,,,,,
Sep-08,Vancouver East,459100.00 ,Townhouse,,,,,
Sep-08,Vancouver West,622800.00 ,Townhouse,,,,,
Sep-08,Whistler,552500.00 ,Townhouse,,,,,
Sep-08,Lower Mainland,348300.00 ,Apartment,,,,,
Sep-08,Burnaby East,409800.00 ,Apartment,,,,,
Sep-08,Burnaby North,341000.00 ,Apartment,,,,,
Sep-08,Burnaby South,359600.00 ,Apartment,,,,,
Sep-08,Coquitlam,265700.00 ,Apartment,,,,,
Sep-08,Ladner,320600.00 ,Apartment,,,,,
Sep-08,Maple Ridge,217600.00 ,Apartment,,,,,
Sep-08,New Westminster,270900.00 ,Apartment,,,,,
Sep-08,North Vancouver,346500.00 ,Apartment,,,,,
Sep-08,Pitt Meadows,263500.00 ,Apartment,,,,,
Sep-08,Port Coquitlam,255300.00 ,Apartment,,,,,
Sep-08,Port Moody,323200.00 ,Apartment,,,,,
Sep-08,Richmond,339600.00 ,Apartment,,,,,
Sep-08,Squamish,283400.00 ,Apartment,,,,,
Sep-08,Tsawwassen,347600.00 ,Apartment,,,,,
Sep-08,Vancouver East,299100.00 ,Apartment,,,,,
Sep-08,Vancouver West,440400.00 ,Apartment,,,,,
Sep-08,West Vancouver,715600.00 ,Apartment,,,,,
Sep-08,Whistler,356600.00 ,Apartment,,,,,
Oct-08,Lower Mainland,636300.00 ,Detached,,,,,
Oct-08,Bowen Island,610200.00 ,Detached,,,,,
Oct-08,Burnaby East,591200.00 ,Detached,,,,,
Oct-08,Burnaby North,703800.00 ,Detached,,,,,
Oct-08,Burnaby South,713600.00 ,Detached,,,,,
Oct-08,Coquitlam,608700.00 ,Detached,,,,,
Oct-08,Ladner,550300.00 ,Detached,,,,,
Oct-08,Maple Ridge,460500.00 ,Detached,,,,,
Oct-08,New Westminster,536800.00 ,Detached,,,,,
Oct-08,North Vancouver,831900.00 ,Detached,,,,,
Oct-08,Pitt Meadows,459200.00 ,Detached,,,,,
Oct-08,Port Coquitlam,506700.00 ,Detached,,,,,
Oct-08,Port Moody,740800.00 ,Detached,,,,,
Oct-08,Richmond,747400.00 ,Detached,,,,,
Oct-08,Squamish,512700.00 ,Detached,,,,,
Oct-08,Sunshine Coast,381900.00 ,Detached,,,,,
Oct-08,Tsawwassen,595500.00 ,Detached,,,,,
Oct-08,Vancouver East,632900.00 ,Detached,,,,,
Oct-08,Vancouver West,1455300.00 ,Detached,,,,,
Oct-08,West Vancouver,1416300.00 ,Detached,,,,,
Oct-08,Whistler,1000000.00 ,Detached,,,,,
Oct-08,Lower Mainland,381600.00 ,Townhouse,,,,,
Oct-08,Burnaby East,383600.00 ,Townhouse,,,,,
Oct-08,Burnaby North,387400.00 ,Townhouse,,,,,
Oct-08,Burnaby South,407300.00 ,Townhouse,,,,,
Oct-08,Coquitlam,367900.00 ,Townhouse,,,,,
Oct-08,Ladner,392000.00 ,Townhouse,,,,,
Oct-08,Maple Ridge,302600.00 ,Townhouse,,,,,
Oct-08,New Westminster,383700.00 ,Townhouse,,,,,
Oct-08,North Vancouver,537100.00 ,Townhouse,,,,,
Oct-08,Pitt Meadows,320800.00 ,Townhouse,,,,,
Oct-08,Port Coquitlam,362900.00 ,Townhouse,,,,,
Oct-08,Port Moody,409200.00 ,Townhouse,,,,,
Oct-08,Richmond,428700.00 ,Townhouse,,,,,
Oct-08,Squamish,400500.00 ,Townhouse,,,,,
Oct-08,Tsawwassen,358600.00 ,Townhouse,,,,,
Oct-08,Vancouver East,443700.00 ,Townhouse,,,,,
Oct-08,Vancouver West,595400.00 ,Townhouse,,,,,
Oct-08,Whistler,546200.00 ,Townhouse,,,,,
Oct-08,Lower Mainland,338900.00 ,Apartment,,,,,
Oct-08,Burnaby East,392600.00 ,Apartment,,,,,
Oct-08,Burnaby North,330000.00 ,Apartment,,,,,
Oct-08,Burnaby South,351700.00 ,Apartment,,,,,
Oct-08,Coquitlam,256000.00 ,Apartment,,,,,
Oct-08,Ladner,312900.00 ,Apartment,,,,,
Oct-08,Maple Ridge,208300.00 ,Apartment,,,,,
Oct-08,New Westminster,263200.00 ,Apartment,,,,,
Oct-08,North Vancouver,334200.00 ,Apartment,,,,,
Oct-08,Pitt Meadows,252200.00 ,Apartment,,,,,
Oct-08,Port Coquitlam,248800.00 ,Apartment,,,,,
Oct-08,Port Moody,319400.00 ,Apartment,,,,,
Oct-08,Richmond,329300.00 ,Apartment,,,,,
Oct-08,Squamish,274700.00 ,Apartment,,,,,
Oct-08,Tsawwassen,339200.00 ,Apartment,,,,,
Oct-08,Vancouver East,290500.00 ,Apartment,,,,,
Oct-08,Vancouver West,427800.00 ,Apartment,,,,,
Oct-08,West Vancouver,677200.00 ,Apartment,,,,,
Oct-08,Whistler,345700.00 ,Apartment,,,,,
Nov-08,Lower Mainland,621300.00 ,Detached,,,,,
Nov-08,Bowen Island,584400.00 ,Detached,,,,,
Nov-08,Burnaby East,577300.00 ,Detached,,,,,
Nov-08,Burnaby North,686200.00 ,Detached,,,,,
Nov-08,Burnaby South,698900.00 ,Detached,,,,,
Nov-08,Coquitlam,600200.00 ,Detached,,,,,
Nov-08,Ladner,546900.00 ,Detached,,,,,
Nov-08,Maple Ridge,447500.00 ,Detached,,,,,
Nov-08,New Westminster,527500.00 ,Detached,,,,,
Nov-08,North Vancouver,807200.00 ,Detached,,,,,
Nov-08,Pitt Meadows,448200.00 ,Detached,,,,,
Nov-08,Port Coquitlam,494300.00 ,Detached,,,,,
Nov-08,Port Moody,728300.00 ,Detached,,,,,
Nov-08,Richmond,730900.00 ,Detached,,,,,
Nov-08,Squamish,505100.00 ,Detached,,,,,
Nov-08,Sunshine Coast,369900.00 ,Detached,,,,,
Nov-08,Tsawwassen,586100.00 ,Detached,,,,,
Nov-08,Vancouver East,614700.00 ,Detached,,,,,
Nov-08,Vancouver West,1399900.00 ,Detached,,,,,
Nov-08,West Vancouver,1337900.00 ,Detached,,,,,
Nov-08,Whistler,993500.00 ,Detached,,,,,
Nov-08,Lower Mainland,374100.00 ,Townhouse,,,,,
Nov-08,Burnaby East,376300.00 ,Townhouse,,,,,
Nov-08,Burnaby North,378600.00 ,Townhouse,,,,,
Nov-08,Burnaby South,396600.00 ,Townhouse,,,,,
Nov-08,Coquitlam,361600.00 ,Townhouse,,,,,
Nov-08,Ladner,382500.00 ,Townhouse,,,,,
Nov-08,Maple Ridge,298100.00 ,Townhouse,,,,,
Nov-08,New Westminster,369000.00 ,Townhouse,,,,,
Nov-08,North Vancouver,522700.00 ,Townhouse,,,,,
Nov-08,Pitt Meadows,314100.00 ,Townhouse,,,,,
Nov-08,Port Coquitlam,354500.00 ,Townhouse,,,,,
Nov-08,Port Moody,399200.00 ,Townhouse,,,,,
Nov-08,Richmond,420500.00 ,Townhouse,,,,,
Nov-08,Squamish,396000.00 ,Townhouse,,,,,
Nov-08,Tsawwassen,349900.00 ,Townhouse,,,,,
Nov-08,Vancouver East,429500.00 ,Townhouse,,,,,
Nov-08,Vancouver West,568900.00 ,Townhouse,,,,,
Nov-08,Whistler,540000.00 ,Townhouse,,,,,
Nov-08,Lower Mainland,329400.00 ,Apartment,,,,,
Nov-08,Burnaby East,376100.00 ,Apartment,,,,,
Nov-08,Burnaby North,319300.00 ,Apartment,,,,,
Nov-08,Burnaby South,344000.00 ,Apartment,,,,,
Nov-08,Coquitlam,246700.00 ,Apartment,,,,,
Nov-08,Ladner,305400.00 ,Apartment,,,,,
Nov-08,Maple Ridge,199300.00 ,Apartment,,,,,
Nov-08,New Westminster,255600.00 ,Apartment,,,,,
Nov-08,North Vancouver,322700.00 ,Apartment,,,,,
Nov-08,Pitt Meadows,241300.00 ,Apartment,,,,,
Nov-08,Port Coquitlam,242500.00 ,Apartment,,,,,
Nov-08,Port Moody,315800.00 ,Apartment,,,,,
Nov-08,Richmond,319500.00 ,Apartment,,,,,
Nov-08,Squamish,266400.00 ,Apartment,,,,,
Nov-08,Tsawwassen,331100.00 ,Apartment,,,,,
Nov-08,Vancouver East,282400.00 ,Apartment,,,,,
Nov-08,Vancouver West,413600.00 ,Apartment,,,,,
Nov-08,West Vancouver,641300.00 ,Apartment,,,,,
Nov-08,Whistler,335200.00 ,Apartment,,,,,
Dec-08,Lower Mainland,606800.00 ,Detached,,,,,
Dec-08,Bowen Island,559500.00 ,Detached,,,,,
Dec-08,Burnaby East,563900.00 ,Detached,,,,,
Dec-08,Burnaby North,669700.00 ,Detached,,,,,
Dec-08,Burnaby South,684300.00 ,Detached,,,,,
Dec-08,Coquitlam,591600.00 ,Detached,,,,,
Dec-08,Ladner,544000.00 ,Detached,,,,,
Dec-08,Maple Ridge,434900.00 ,Detached,,,,,
Dec-08,New Westminster,518300.00 ,Detached,,,,,
Dec-08,North Vancouver,783700.00 ,Detached,,,,,
Dec-08,Pitt Meadows,437600.00 ,Detached,,,,,
Dec-08,Port Coquitlam,481900.00 ,Detached,,,,,
Dec-08,Port Moody,715900.00 ,Detached,,,,,
Dec-08,Richmond,714900.00 ,Detached,,,,,
Dec-08,Squamish,497500.00 ,Detached,,,,,
Dec-08,Sunshine Coast,358500.00 ,Detached,,,,,
Dec-08,Tsawwassen,577100.00 ,Detached,,,,,
Dec-08,Vancouver East,596500.00 ,Detached,,,,,
Dec-08,Vancouver West,1347500.00 ,Detached,,,,,
Dec-08,West Vancouver,1263700.00 ,Detached,,,,,
Dec-08,Whistler,987000.00 ,Detached,,,,,
Dec-08,Lower Mainland,366700.00 ,Townhouse,,,,,
Dec-08,Burnaby East,369300.00 ,Townhouse,,,,,
Dec-08,Burnaby North,369700.00 ,Townhouse,,,,,
Dec-08,Burnaby South,386400.00 ,Townhouse,,,,,
Dec-08,Coquitlam,355600.00 ,Townhouse,,,,,
Dec-08,Ladner,373000.00 ,Townhouse,,,,,
Dec-08,Maple Ridge,293600.00 ,Townhouse,,,,,
Dec-08,New Westminster,355100.00 ,Townhouse,,,,,
Dec-08,North Vancouver,508300.00 ,Townhouse,,,,,
Dec-08,Pitt Meadows,307600.00 ,Townhouse,,,,,
Dec-08,Port Coquitlam,346600.00 ,Townhouse,,,,,
Dec-08,Port Moody,389400.00 ,Townhouse,,,,,
Dec-08,Richmond,412600.00 ,Townhouse,,,,,
Dec-08,Squamish,391700.00 ,Townhouse,,,,,
Dec-08,Tsawwassen,341300.00 ,Townhouse,,,,,
Dec-08,Vancouver East,416300.00 ,Townhouse,,,,,
Dec-08,Vancouver West,544900.00 ,Townhouse,,,,,
Dec-08,Whistler,534200.00 ,Townhouse,,,,,
Dec-08,Lower Mainland,319600.00 ,Apartment,,,,,
Dec-08,Burnaby East,360200.00 ,Apartment,,,,,
Dec-08,Burnaby North,308900.00 ,Apartment,,,,,
Dec-08,Burnaby South,336500.00 ,Apartment,,,,,
Dec-08,Coquitlam,237800.00 ,Apartment,,,,,
Dec-08,Ladner,298100.00 ,Apartment,,,,,
Dec-08,Maple Ridge,190800.00 ,Apartment,,,,,
Dec-08,New Westminster,248200.00 ,Apartment,,,,,
Dec-08,North Vancouver,311400.00 ,Apartment,,,,,
Dec-08,Pitt Meadows,231000.00 ,Apartment,,,,,
Dec-08,Port Coquitlam,236300.00 ,Apartment,,,,,
Dec-08,Port Moody,312200.00 ,Apartment,,,,,
Dec-08,Richmond,310000.00 ,Apartment,,,,,
Dec-08,Squamish,258500.00 ,Apartment,,,,,
Dec-08,Tsawwassen,323200.00 ,Apartment,,,,,
Dec-08,Vancouver East,274300.00 ,Apartment,,,,,
Dec-08,Vancouver West,397900.00 ,Apartment,,,,,
Dec-08,West Vancouver,606800.00 ,Apartment,,,,,
Dec-08,Whistler,325200.00 ,Apartment,,,,,
Jan-09,Lower Mainland,601200.00 ,Detached,,,,,
Jan-09,Bowen Island,560000.00 ,Detached,,,,,
Jan-09,Burnaby East,561700.00 ,Detached,,,,,
Jan-09,Burnaby North,669100.00 ,Detached,,,,,
Jan-09,Burnaby South,673400.00 ,Detached,,,,,
Jan-09,Coquitlam,580800.00 ,Detached,,,,,
Jan-09,Ladner,536500.00 ,Detached,,,,,
Jan-09,Maple Ridge,431000.00 ,Detached,,,,,
Jan-09,New Westminster,513100.00 ,Detached,,,,,
Jan-09,North Vancouver,775400.00 ,Detached,,,,,
Jan-09,Pitt Meadows,437900.00 ,Detached,,,,,
Jan-09,Port Coquitlam,475600.00 ,Detached,,,,,
Jan-09,Port Moody,703900.00 ,Detached,,,,,
Jan-09,Richmond,706700.00 ,Detached,,,,,
Jan-09,Squamish,486900.00 ,Detached,,,,,
Jan-09,Sunshine Coast,355700.00 ,Detached,,,,,
Jan-09,Tsawwassen,573000.00 ,Detached,,,,,
Jan-09,Vancouver East,596500.00 ,Detached,,,,,
Jan-09,Vancouver West,1345500.00 ,Detached,,,,,
Jan-09,West Vancouver,1258400.00 ,Detached,,,,,
Jan-09,Whistler,953200.00 ,Detached,,,,,
Jan-09,Lower Mainland,363400.00 ,Townhouse,,,,,
Jan-09,Burnaby East,364100.00 ,Townhouse,,,,,
Jan-09,Burnaby North,365200.00 ,Townhouse,,,,,
Jan-09,Burnaby South,386700.00 ,Townhouse,,,,,
Jan-09,Coquitlam,352100.00 ,Townhouse,,,,,
Jan-09,Ladner,372500.00 ,Townhouse,,,,,
Jan-09,Maple Ridge,290800.00 ,Townhouse,,,,,
Jan-09,New Westminster,357300.00 ,Townhouse,,,,,
Jan-09,North Vancouver,505800.00 ,Townhouse,,,,,
Jan-09,Pitt Meadows,306000.00 ,Townhouse,,,,,
Jan-09,Port Coquitlam,345200.00 ,Townhouse,,,,,
Jan-09,Port Moody,383200.00 ,Townhouse,,,,,
Jan-09,Richmond,408600.00 ,Townhouse,,,,,
Jan-09,Squamish,383800.00 ,Townhouse,,,,,
Jan-09,Tsawwassen,340800.00 ,Townhouse,,,,,
Jan-09,Vancouver East,417900.00 ,Townhouse,,,,,
Jan-09,Vancouver West,547900.00 ,Townhouse,,,,,
Jan-09,Whistler,523400.00 ,Townhouse,,,,,
Jan-09,Lower Mainland,317700.00 ,Apartment,,,,,
Jan-09,Burnaby East,359700.00 ,Apartment,,,,,
Jan-09,Burnaby North,306400.00 ,Apartment,,,,,
Jan-09,Burnaby South,332700.00 ,Apartment,,,,,
Jan-09,Coquitlam,235100.00 ,Apartment,,,,,
Jan-09,Ladner,299400.00 ,Apartment,,,,,
Jan-09,Maple Ridge,192600.00 ,Apartment,,,,,
Jan-09,New Westminster,246000.00 ,Apartment,,,,,
Jan-09,North Vancouver,308900.00 ,Apartment,,,,,
Jan-09,Pitt Meadows,233200.00 ,Apartment,,,,,
Jan-09,Port Coquitlam,233900.00 ,Apartment,,,,,
Jan-09,Port Moody,304000.00 ,Apartment,,,,,
Jan-09,Richmond,307800.00 ,Apartment,,,,,
Jan-09,Squamish,253400.00 ,Apartment,,,,,
Jan-09,Tsawwassen,324600.00 ,Apartment,,,,,
Jan-09,Vancouver East,271700.00 ,Apartment,,,,,
Jan-09,Vancouver West,400000.00 ,Apartment,,,,,
Jan-09,West Vancouver,600400.00 ,Apartment,,,,,
Jan-09,Whistler,318800.00 ,Apartment,,,,,
Feb-09,Lower Mainland,596000.00 ,Detached,,,,,
Feb-09,Bowen Island,560000.00 ,Detached,,,,,
Feb-09,Burnaby East,559400.00 ,Detached,,,,,
Feb-09,Burnaby North,669100.00 ,Detached,,,,,
Feb-09,Burnaby South,662900.00 ,Detached,,,,,
Feb-09,Coquitlam,570000.00 ,Detached,,,,,
Feb-09,Ladner,529800.00 ,Detached,,,,,
Feb-09,Maple Ridge,427200.00 ,Detached,,,,,
Feb-09,New Westminster,507900.00 ,Detached,,,,,
Feb-09,North Vancouver,767100.00 ,Detached,,,,,
Feb-09,Pitt Meadows,437600.00 ,Detached,,,,,
Feb-09,Port Coquitlam,469600.00 ,Detached,,,,,
Feb-09,Port Moody,692600.00 ,Detached,,,,,
Feb-09,Richmond,699400.00 ,Detached,,,,,
Feb-09,Squamish,476600.00 ,Detached,,,,,
Feb-09,Sunshine Coast,353400.00 ,Detached,,,,,
Feb-09,Tsawwassen,569500.00 ,Detached,,,,,
Feb-09,Vancouver East,596500.00 ,Detached,,,,,
Feb-09,Vancouver West,1345500.00 ,Detached,,,,,
Feb-09,West Vancouver,1253200.00 ,Detached,,,,,
Feb-09,Whistler,920200.00 ,Detached,,,,,
Feb-09,Lower Mainland,360100.00 ,Townhouse,,,,,
Feb-09,Burnaby East,359500.00 ,Townhouse,,,,,
Feb-09,Burnaby North,360900.00 ,Townhouse,,,,,
Feb-09,Burnaby South,386700.00 ,Townhouse,,,,,
Feb-09,Coquitlam,348500.00 ,Townhouse,,,,,
Feb-09,Ladner,371600.00 ,Townhouse,,,,,
Feb-09,Maple Ridge,288200.00 ,Townhouse,,,,,
Feb-09,New Westminster,359500.00 ,Townhouse,,,,,
Feb-09,North Vancouver,503700.00 ,Townhouse,,,,,
Feb-09,Pitt Meadows,304400.00 ,Townhouse,,,,,
Feb-09,Port Coquitlam,344200.00 ,Townhouse,,,,,
Feb-09,Port Moody,377000.00 ,Townhouse,,,,,
Feb-09,Richmond,404400.00 ,Townhouse,,,,,
Feb-09,Squamish,376200.00 ,Townhouse,,,,,
Feb-09,Tsawwassen,340000.00 ,Townhouse,,,,,
Feb-09,Vancouver East,419500.00 ,Townhouse,,,,,
Feb-09,Vancouver West,550500.00 ,Townhouse,,,,,
Feb-09,Whistler,513100.00 ,Townhouse,,,,,
Feb-09,Lower Mainland,314400.00 ,Apartment,,,,,
Feb-09,Burnaby East,359500.00 ,Apartment,,,,,
Feb-09,Burnaby North,303600.00 ,Apartment,,,,,
Feb-09,Burnaby South,329000.00 ,Apartment,,,,,
Feb-09,Coquitlam,232500.00 ,Apartment,,,,,
Feb-09,Ladner,300900.00 ,Apartment,,,,,
Feb-09,Maple Ridge,194500.00 ,Apartment,,,,,
Feb-09,New Westminster,243900.00 ,Apartment,,,,,
Feb-09,North Vancouver,306500.00 ,Apartment,,,,,
Feb-09,Pitt Meadows,235500.00 ,Apartment,,,,,
Feb-09,Port Coquitlam,231400.00 ,Apartment,,,,,
Feb-09,Port Moody,295600.00 ,Apartment,,,,,
Feb-09,Richmond,306000.00 ,Apartment,,,,,
Feb-09,Squamish,248500.00 ,Apartment,,,,,
Feb-09,Tsawwassen,326200.00 ,Apartment,,,,,
Feb-09,Vancouver East,269000.00 ,Apartment,,,,,
Feb-09,Vancouver West,395700.00 ,Apartment,,,,,
Feb-09,West Vancouver,594500.00 ,Apartment,,,,,
Feb-09,Whistler,312700.00 ,Apartment,,,,,
Mar-09,Lower Mainland,591300.00 ,Detached,,,,,
Mar-09,Bowen Island,560400.00 ,Detached,,,,,
Mar-09,Burnaby East,556800.00 ,Detached,,,,,
Mar-09,Burnaby North,668600.00 ,Detached,,,,,
Mar-09,Burnaby South,653500.00 ,Detached,,,,,
Mar-09,Coquitlam,560100.00 ,Detached,,,,,
Mar-09,Ladner,522700.00 ,Detached,,,,,
Mar-09,Maple Ridge,423300.00 ,Detached,,,,,
Mar-09,New Westminster,502700.00 ,Detached,,,,,
Mar-09,North Vancouver,759500.00 ,Detached,,,,,
Mar-09,Pitt Meadows,437600.00 ,Detached,,,,,
Mar-09,Port Coquitlam,463600.00 ,Detached,,,,,
Mar-09,Port Moody,681700.00 ,Detached,,,,,
Mar-09,Richmond,691700.00 ,Detached,,,,,
Mar-09,Squamish,466700.00 ,Detached,,,,,
Mar-09,Sunshine Coast,350800.00 ,Detached,,,,,
Mar-09,Tsawwassen,565400.00 ,Detached,,,,,
Mar-09,Vancouver East,597000.00 ,Detached,,,,,
Mar-09,Vancouver West,1345500.00 ,Detached,,,,,
Mar-09,West Vancouver,1246800.00 ,Detached,,,,,
Mar-09,Whistler,889300.00 ,Detached,,,,,
Mar-09,Lower Mainland,356700.00 ,Townhouse,,,,,
Mar-09,Burnaby East,355200.00 ,Townhouse,,,,,
Mar-09,Burnaby North,356600.00 ,Townhouse,,,,,
Mar-09,Burnaby South,387300.00 ,Townhouse,,,,,
Mar-09,Coquitlam,344700.00 ,Townhouse,,,,,
Mar-09,Ladner,371100.00 ,Townhouse,,,,,
Mar-09,Maple Ridge,285600.00 ,Townhouse,,,,,
Mar-09,New Westminster,361900.00 ,Townhouse,,,,,
Mar-09,North Vancouver,501300.00 ,Townhouse,,,,,
Mar-09,Pitt Meadows,302800.00 ,Townhouse,,,,,
Mar-09,Port Coquitlam,343100.00 ,Townhouse,,,,,
Mar-09,Port Moody,371100.00 ,Townhouse,,,,,
Mar-09,Richmond,400400.00 ,Townhouse,,,,,
Mar-09,Squamish,368600.00 ,Townhouse,,,,,
Mar-09,Tsawwassen,339500.00 ,Townhouse,,,,,
Mar-09,Vancouver East,421400.00 ,Townhouse,,,,,
Mar-09,Vancouver West,553900.00 ,Townhouse,,,,,
Mar-09,Whistler,502700.00 ,Townhouse,,,,,
Mar-09,Lower Mainland,312100.00 ,Apartment,,,,,
Mar-09,Burnaby East,358900.00 ,Apartment,,,,,
Mar-09,Burnaby North,301000.00 ,Apartment,,,,,
Mar-09,Burnaby South,325500.00 ,Apartment,,,,,
Mar-09,Coquitlam,229800.00 ,Apartment,,,,,
Mar-09,Ladner,302200.00 ,Apartment,,,,,
Mar-09,Maple Ridge,196400.00 ,Apartment,,,,,
Mar-09,New Westminster,241600.00 ,Apartment,,,,,
Mar-09,North Vancouver,304000.00 ,Apartment,,,,,
Mar-09,Pitt Meadows,237700.00 ,Apartment,,,,,
Mar-09,Port Coquitlam,229100.00 ,Apartment,,,,,
Mar-09,Port Moody,288000.00 ,Apartment,,,,,
Mar-09,Richmond,303900.00 ,Apartment,,,,,
Mar-09,Squamish,243900.00 ,Apartment,,,,,
Mar-09,Tsawwassen,327600.00 ,Apartment,,,,,
Mar-09,Vancouver East,266500.00 ,Apartment,,,,,
Mar-09,Vancouver West,396000.00 ,Apartment,,,,,
Mar-09,West Vancouver,588600.00 ,Apartment,,,,,
Mar-09,Whistler,306900.00 ,Apartment,,,,,
Apr-09,Lower Mainland,596900.00 ,Detached,,,,,
Apr-09,Bowen Island,564600.00 ,Detached,,,,,
Apr-09,Burnaby East,570600.00 ,Detached,,,,,
Apr-09,Burnaby North,678400.00 ,Detached,,,,,
Apr-09,Burnaby South,668700.00 ,Detached,,,,,
Apr-09,Coquitlam,564600.00 ,Detached,,,,,
Apr-09,Ladner,529800.00 ,Detached,,,,,
Apr-09,Maple Ridge,425400.00 ,Detached,,,,,
Apr-09,New Westminster,515100.00 ,Detached,,,,,
Apr-09,North Vancouver,772200.00 ,Detached,,,,,
Apr-09,Pitt Meadows,442500.00 ,Detached,,,,,
Apr-09,Port Coquitlam,467700.00 ,Detached,,,,,
Apr-09,Port Moody,683900.00 ,Detached,,,,,
Apr-09,Richmond,700500.00 ,Detached,,,,,
Apr-09,Squamish,467900.00 ,Detached,,,,,
Apr-09,Sunshine Coast,355400.00 ,Detached,,,,,
Apr-09,Tsawwassen,573000.00 ,Detached,,,,,
Apr-09,Vancouver East,607400.00 ,Detached,,,,,
Apr-09,Vancouver West,1370300.00 ,Detached,,,,,
Apr-09,West Vancouver,1260600.00 ,Detached,,,,,
Apr-09,Whistler,896400.00 ,Detached,,,,,
Apr-09,Lower Mainland,358100.00 ,Townhouse,,,,,
Apr-09,Burnaby East,357300.00 ,Townhouse,,,,,
Apr-09,Burnaby North,363300.00 ,Townhouse,,,,,
Apr-09,Burnaby South,390200.00 ,Townhouse,,,,,
Apr-09,Coquitlam,345300.00 ,Townhouse,,,,,
Apr-09,Ladner,376100.00 ,Townhouse,,,,,
Apr-09,Maple Ridge,284800.00 ,Townhouse,,,,,
Apr-09,New Westminster,364900.00 ,Townhouse,,,,,
Apr-09,North Vancouver,508300.00 ,Townhouse,,,,,
Apr-09,Pitt Meadows,304100.00 ,Townhouse,,,,,
Apr-09,Port Coquitlam,343900.00 ,Townhouse,,,,,
Apr-09,Port Moody,373700.00 ,Townhouse,,,,,
Apr-09,Richmond,402900.00 ,Townhouse,,,,,
Apr-09,Squamish,368600.00 ,Townhouse,,,,,
Apr-09,Tsawwassen,344100.00 ,Townhouse,,,,,
Apr-09,Vancouver East,430500.00 ,Townhouse,,,,,
Apr-09,Vancouver West,561600.00 ,Townhouse,,,,,
Apr-09,Whistler,502700.00 ,Townhouse,,,,,
Apr-09,Lower Mainland,316300.00 ,Apartment,,,,,
Apr-09,Burnaby East,362600.00 ,Apartment,,,,,
